2026-02-26 14:17:30,053 - INFO - Лог-файл этой симуляции: logs\sim_20260226_141730.log
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:30,054 - INFO - НАЧАЛО СИМУЛЯЦИИ
2026-02-26 14:17:30,054 - INFO - Режим: random
2026-02-26 14:17:30,054 - INFO - Модуляция: PSK-8, Код Грея: False
2026-02-26 14:17:30,054 - INFO - Кодирование: отключено
2026-02-26 14:17:30,054 - INFO - Диапазон Eb/N0: 0.0..10.0 дБ, шаг 1.0
2026-02-26 14:17:30,054 - INFO - ============================================================
2026-02-26 14:17:45,521 - INFO - Eb/N0=9.00 dB | Es/N0=13.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=44283 | BER=4.428e-01 | SER=7.768e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:45,830 - INFO - Eb/N0=9.00 dB | Es/N0=13.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=4994 | BER=4.994e-02 | SER=8.562e-02 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:46,142 - INFO - Eb/N0=10.00 dB | Es/N0=14.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=28492 | BER=2.849e-01 | SER=4.992e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:46,458 - INFO - Eb/N0=10.00 dB | Es/N0=14.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=19901 | BER=1.990e-01 | SER=3.395e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:46,766 - INFO - Eb/N0=10.00 dB | Es/N0=14.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=28282 | BER=2.828e-01 | SER=5.791e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:47,075 - INFO - Eb/N0=10.00 dB | Es/N0=14.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=16690 | BER=1.669e-01 | SER=3.699e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:47,393 - INFO - Eb/N0=10.00 dB | Es/N0=14.77 dB | Mod=PSKModulator-8 | Gray=False | CodeRate=1.000 | Bits=100000 | BitErrors=6700 | BER=6.700e-02 | SER=1.153e-01 | CorrectedErrors=0 | DetectedErrors=0 | Blocks=0 | Channels=['Rayleigh Fading', 'Timing Offset', 'Impulse Noise']
2026-02-26 14:17:47,393 - INFO - Результаты сохранены в файл: results_PSK8_Random_20260226_141747.txt
2026-02-26 14:17:47,393 - INFO - ============================================================
2026-02-26 14:17:47,393 - INFO - СИМУЛЯЦИЯ ЗАВЕРШЕНА за 17.3 с
2026-02-26 14:17:47,393 - INFO - Результаты сохранены в results_PSK8_Random_20260226_141747.txt
2026-02-26 14:17:47,393 - INFO - ============================================================
2026-02-26 14:17:47,663 - INFO - График сохранён: Plot_PSK8_Random_20260226_141747.png
